age,income,family_size,spend_cat_A,spend_cat_B,spend_cat_C,persona
26,48087,2,0.9707764060773884,0.42786836447219945,0.8242270129715309,1
43,129824,5,0.9681794969744566,0.14961634988073558,0.24523562706401203,0
19,129844,5,0.9052051318175627,0.14163057016514802,0.44109174799683104,1
37,107829,3,0.36008913801433196,0.6496394060100703,0.09854222263517964,3
45,96213,4,0.3679724553540591,0.365897307978584,0.7951742385610694,0
24,32803,2,0.8526731640437157,0.3637245470510636,0.7364610274987048,1
25,132192,5,0.7291349317414662,0.6123239552853376,0.12806368084273634,3
52,66002,4,0.7043609698180437,0.22151187646208992,0.9479625581022657,0
31,86761,2,0.2796110110841158,0.14542825829487716,0.5906232586930591,1
34,148574,4,0.8333486115544758,0.6572625107282069,0.7981578127367518,3
53,91310,1,0.5794205722629432,0.005237036630238001,0.76379928676361,3
57,98579,2,0.4468655742385731,0.9073649817524286,0.5190729594462531,0
21,36163,4,0.8654221241080758,0.18297092079398458,0.7474916221037232,1
19,88380,2,0.39420976378211403,0.4478560601559394,0.23779766530322577,4
23,92883,2,0.6539258118677655,0.21147853514353587,0.02126392892163742,1
59,71885,1,0.465905182004139,0.21821966872976606,0.3420760748724473,0
21,106340,4,0.5927378061710562,0.8350013670135052,0.15250272656062813,2
46,56764,3,0.04054647164847858,0.5850335131822715,0.9810806935267576,3
35,112782,5,0.4611151631763841,0.31145034396266413,0.92362513932813,3
43,82126,2,0.5564913074967742,0.25109872994373406,0.14413774074467212,3
51,127994,2,0.49271933474960594,0.21286243988458053,0.343989932191611,0
27,87224,2,0.8474103725068188,0.5544483530199581,0.509316770655502,1
53,67055,2,0.3111239747918165,0.7307894127169579,0.39872898210766516,0
31,71599,5,0.8840765310045404,0.25352738235340044,0.7000186864942024,3
48,102787,3,0.4034619699068904,0.3323005948224257,0.5035184373223538,0
32,98040,1,0.6945267322606563,0.7203655960367759,0.5652632097684883,2
25,59720,3,0.08672272800729774,0.7372780166620805,0.6776395903427531,4
31,113120,5,0.2001540835688227,0.20732315178166838,0.02366764210947747,2
40,64484,4,0.7611660111412718,0.3822023300473222,0.0124255750325315,0
57,147976,1,0.012328685538640416,0.8699577250643356,0.17812388422187786,0
38,134067,1,0.9685277391470993,0.7401922466597429,0.7183050501484035,3
33,58852,4,0.19062890106321517,0.16249532402809141,0.24042139758736425,2
35,33219,2,0.9013039862451232,0.3859629280277347,0.9201767957560492,1
41,128508,5,0.5159450282262857,0.9732937819155784,0.07849724642751787,0
43,110351,4,0.5645753668971301,0.5253776041868076,0.5799087578123544,0
42,68865,3,0.08413178797102505,0.7193461586861647,0.025547122632222807,2
58,74457,3,0.3652187541573678,0.09203501804102565,0.9720585652646168,3
46,110159,4,0.1562188607805014,0.8325099620668568,0.21366982985048288,0
32,56817,5,0.5259314943609428,0.6047849220220365,0.5876372076569863,2
18,88993,1,0.5507321456719495,0.17560043212173648,0.953055415050309,1
42,113391,1,0.7096669495843103,0.38021177104363824,0.030365101984513254,3
24,72380,2,0.8782781579231833,0.08302759527571768,0.5127346413955765,1
26,70400,5,0.4681798162698607,0.7770105281537847,0.5267132869951554,2
41,135855,3,0.23336037008060662,0.744878999977278,0.35148512920644004,3
18,56258,3,0.3335716614416495,0.4902310202011464,0.6545527162916366,4
25,101006,2,0.8470898129389373,0.45201639530851057,0.5425299689311379,1
41,68957,3,0.14586348507876146,0.4634246193908844,0.2491413090284118,3
28,131466,2,0.6272560783386825,0.03746677867534309,0.7053096108017674,1
34,38281,2,0.013085883842810175,0.36824496708503174,0.46617105894466937,1
25,97264,4,0.24566932845424272,0.1285039813724943,0.4703105255684833,1
52,71331,1,0.5914084975014595,0.18479236220345108,0.9519203219481287,3
52,65680,5,0.45641204000267077,0.9621167086852822,0.5350322739833032,0
50,58723,5,0.49354949024323136,0.261785209534512,0.7846572496122475,0
22,30162,1,0.660562050459606,0.48362497447471253,0.8673869341075234,4
59,114808,5,0.23458602441856746,0.887792479194958,0.5807297924617141,0
56,121024,3,0.2808049403265024,0.41349138393507323,0.7863742139442054,0
58,128877,3,0.6844582074278464,0.5286181396191686,0.30954256656679124,0
45,71095,5,0.538291407543869,0.16878772766418026,0.18192603290838905,0
24,31338,4,0.014586824258827624,0.28507939250514436,0.6955389044763653,4
26,107832,5,0.6703277952854412,0.5061141598844887,0.9261927097754156,3
25,31675,2,0.6200920407522781,0.36490148602606276,0.04249681317945453,1
29,109606,2,0.07860757379827377,0.03825570065207573,0.7630576763749395,1
51,40080,1,0.7475194948409861,0.40082903338043474,0.028398822071963092,0
50,132675,3,0.5221014589470707,0.8151057640019203,0.4586023358862553,0
40,137513,4,0.20474728395695962,0.11605944298643556,0.6771896829209609,3
41,33936,5,0.5593563681164273,0.018731394378097455,0.4053043876736018,3
54,30019,2,0.5954585141710033,0.11870275675510267,0.30095062716017174,0
52,126718,3,0.9201187291902372,0.6868701946482667,0.18683647010231252,0
57,87282,3,0.7421444255511704,0.7946446387784879,0.9778716916093093,0
39,69681,4,0.30192435449119925,0.04872655559560557,0.570316049320135,3
44,108304,4,0.11813296756419256,0.8875509035359737,0.127844513734934,2
52,93861,4,0.8531840720807808,0.6273253615815433,0.04815011538280989,0
18,130299,4,0.846067687875446,0.5181313484576454,0.24339078224722877,1
52,24486,2,0.17531001472395724,0.2535918880136969,0.5386251023350631,3
54,102021,4,0.06213118519788663,0.37170031473565,0.7519908638991666,0
31,99864,3,0.7118646498160389,0.9469732726795478,0.9809596971037563,2
20,138411,3,0.7225818308364841,0.9115464336462201,0.8339467109139328,4
18,39112,5,0.17714375370537905,0.6254645535017813,0.6119684625512382,4
22,71697,3,0.6682118595574554,0.5789112176678487,0.6664773905285774,1
43,137246,3,0.2789237446969288,0.21054466415704687,0.5220697693786688,3
31,75998,2,0.26061702796880404,0.9532785378516516,0.43457383574912456,4
56,129537,3,0.32451793409034246,0.7553917131090457,0.7847248846406022,0
44,117816,1,0.5203963665168543,0.38225969793536374,0.17735691890531957,3
26,46576,3,0.8044539233286228,0.8158315170467119,0.33393323612274084,2
32,70100,5,0.4986437508896262,0.2118746622668619,0.9786832782194296,3
32,128064,5,0.29804269562407437,0.2132286538313385,0.5717303878743691,2
43,101238,4,0.8839742987118493,0.7909612345570305,0.4985099529095849,0
59,41320,2,0.05508995744236467,0.5593079808671537,0.8507890235111254,3
30,103973,5,0.7970914838980804,0.5558352885270039,0.7620198828502952,3
49,145885,1,0.7843817579218557,0.5736708273705077,0.3260417820467262,0
56,85729,1,0.2535468101543431,0.125806817016346,0.625961630865773,3
49,110853,4,0.19829518252027967,0.3495590743968876,0.18539130952390592,0
21,141992,2,0.8747005614955973,0.5730796698419633,0.05297750915948374,1
47,114018,2,0.5588712935603243,0.24758842657339952,0.9898482409214956,3
54,104879,3,0.04601135763141462,0.5040049595255212,0.7372121021631495,0
40,49144,1,0.8908325164671427,0.5570352382540104,0.9307653510443873,3
56,145143,1,0.34900598435567376,0.9428138783877641,0.831887076769432,3
32,77326,1,0.3421565538100264,0.2457758090583574,0.42807440948817743,1
46,97148,1,0.6432879371598733,0.4393572915573264,0.8614409846951417,3
53,39307,5,0.6613109427985758,0.9815112105441616,0.786699411559498,0
30,80598,2,0.3533161208284148,0.18678987621794463,0.2582549474355992,1
49,39623,3,0.14327892789688068,0.7800194859331496,0.62300864836697,3
24,40249,5,0.5522697633696724,0.17715495563695727,0.30501752988772424,1
39,93765,2,0.6251791646752402,0.850046572777236,0.234035525948183,3
45,111810,4,0.8602223650589736,0.4879739373508939,0.08173349426369692,0
19,122870,1,0.4844399873650659,0.9721614847099529,0.5431606949778763,4
59,92131,3,0.6456960795682218,0.17007496744056394,0.3924264703934429,0
23,114138,2,0.054408827815875194,0.6879263457451211,0.08804529613412682,4
45,58377,4,0.8945229002061619,0.695279250423816,0.718355647400108,0
45,72365,1,0.3272158132067021,0.7188754375364809,0.7230607830088984,3
37,123412,4,0.6322211243423119,0.10096876376229147,0.23531208394332437,3
47,54551,4,0.9160516313132415,0.28856098822464604,0.9559071080500552,0
28,62926,5,0.810525784364687,0.3380168272465519,0.7778634387939868,3
45,110214,4,0.6377038574778656,0.32428760803267953,0.8053042430753418,0
42,107750,5,0.7036078280700853,0.6750207190002863,0.0037013909643336396,0
56,58599,5,0.9209051159649763,0.05482967061386235,0.9784372192153753,0
50,118345,4,0.812093180146795,0.7300786179852055,0.9902943907160382,0
18,129490,2,0.6098590605371569,0.5265843745506256,0.507220482402,1
44,113330,4,0.6587027062096263,0.17299716916722763,0.9850164313551759,3
30,42593,4,0.1472684241652119,0.22611868990374395,0.6121406945481184,1
58,80334,2,0.4701676797705997,0.09758031553423951,0.13398837115585716,0
20,114400,1,0.30099764768366644,0.45905885238686295,0.814230223954039,4
56,129865,3,0.43197063449991635,0.5949214032596419,0.5580849351999201,0
23,135749,1,0.6622468735307563,0.5809720492564255,0.34228978635123763,1
25,79893,4,0.1491510936017556,0.9623678724058646,0.2361813753323745,4
44,62636,1,0.017375963661256932,0.2959660320045171,0.5188970063326703,1
26,89225,3,0.3969244032327296,0.7620798456028799,0.6917505417487905,4
54,60363,1,0.3221843144880572,0.7230775430131221,0.8770074492989213,3
50,75959,3,0.4204320597017073,0.061326980612222526,0.5986386304134836,0
59,100223,1,0.9312209203689806,0.930005076721791,0.41529328628875073,0
41,105917,5,0.7070841012148437,0.9313039188457501,0.6321341155967778,0
32,118629,4,0.3274587745991602,0.39633518213790586,0.49695945309267875,3
49,109125,3,0.1792788222367031,0.4176778350057363,0.6519925889268587,0
49,21120,4,0.6184782942569365,0.8195969296010676,0.6089712967874541,0
41,36491,5,0.6575762515095032,0.4950306554718692,0.9786833445845983,3
58,63638,1,0.483622683877835,0.7992006985157846,0.6222465710587423,0
29,59062,4,0.21276077462216014,0.036125169104864185,0.6910387374259065,1
56,25193,1,0.02855526083653037,0.2502706123805901,0.8923846026714992,3
19,109144,1,0.2656606974672725,0.09106498518836315,0.9130212766879238,4
20,35213,4,0.45717049929018405,0.45419805223180953,0.14087767938332896,1
54,143214,3,0.787934286442492,0.8541594445708955,0.4538050214098195,0
34,133915,3,0.8537538288451721,0.5697877434660406,0.9427691880762351,3
19,99766,4,0.41293455966696424,0.5203335385985419,0.9597690928862175,4
19,103959,3,0.7961240546835278,0.3661068938956099,0.19003244700885336,1
45,37187,2,0.993352823551153,0.06360987672651108,0.44370442521404185,3
40,30040,1,0.7166103748522293,0.766409670488431,0.27865028224635713,2
54,86302,4,0.7285990316014068,0.570766065982748,0.79073635486697,0
49,49949,5,0.9095365015498309,0.9309655071235285,0.8521674010160009,0
50,132000,4,0.3381441284169099,0.4319652243229457,0.4692457415351531,0
18,23527,4,0.011205393057471258,0.4014996365129426,0.6756600076939766,4
36,136994,1,0.9869772716756992,0.9743469904059028,0.8699662856613162,2
19,96557,5,0.49046807767102385,0.1411574949452642,0.7095189779969568,1
43,103408,1,0.7856775931623269,0.2523615327480382,0.1564263900221995,3
49,122433,3,0.8124911376092956,0.488164215448496,0.7119923365576677,0
23,97294,4,0.397516677080029,0.5235443015230831,0.15894713106468217,2
49,38757,1,0.5412730467223182,0.5487166199653918,0.653745470584702,3
21,45412,2,0.5399155260626778,0.2121099297955502,0.3335336483295295,1
28,137997,4,0.22021600934425045,0.9268480484566096,0.05644365692483744,2
34,141522,3,0.11763893389429347,0.7035020970577321,0.22648172900194374,2
55,34312,1,0.5435723049426254,0.25843984955961974,0.4683822138506749,0
41,42119,1,0.12014322685146239,0.29419299884670513,0.9940162260296196,1
22,31804,2,0.34608872385951317,0.8803584652735573,0.25571124436896464,4
51,73986,3,0.1860833316409385,0.3803554074888027,0.9787824958753867,3
23,66545,2,0.7069161082827781,0.5563633615709599,0.36421914183405657,1
39,96519,4,0.8720088534999877,0.1204267786634925,0.9600109723818319,3
28,49999,5,0.5779146098521801,0.25173279841501994,0.9561034381428061,1
33,116093,1,0.4101558071715975,0.41657669072669845,0.1428975952418351,2
50,59758,2,0.9966426408213109,0.6561373778717986,0.8287192300267175,0
26,114324,1,0.021209135246539224,0.2802206587641982,0.5173121149263114,4
23,117486,1,0.3043410842039227,0.9507615122621333,0.6862001208395083,4
33,89519,2,0.27867315264700043,0.22021715190259983,0.7760755698348821,1
46,23768,1,0.3562035980579197,0.7789068899598479,0.1245342235323802,2
20,21504,3,0.23059574115850268,0.3645988127337657,0.7989724947261456,4
37,141481,3,0.2642628354314559,0.8334008768618205,0.30279416938800396,2
53,87986,5,0.2576771099173273,0.9231057118887731,0.732369737622996,0
36,96772,3,0.5057440507524306,0.18701556150452525,0.5736588078711621,3
43,136721,2,0.3910552770344311,0.49147704206550136,0.6846650584071312,3
20,28002,3,0.6392801019849084,0.15436587392441936,0.6228784884275737,1
36,95427,5,0.5144011598676854,0.705825230785949,0.8104205437396111,3
37,58787,4,0.18342185236973052,0.8322380812277695,0.8945600791329125,2
49,33898,4,0.8100449789345078,0.38946793825789316,0.4491020813930443,0
24,30472,2,0.4721951983405571,0.3967509029593388,0.3921709523762289,1
58,100800,5,0.15323151790598277,0.2038397807443938,0.2421903202320279,0
50,103227,3,0.1668798429286622,0.30653465734716845,0.813839021871447,3
57,129023,5,0.7969684104789558,0.3238930590375796,0.9670137581779626,0
56,52632,1,0.7029931842231004,0.1555742767712297,0.19532163342916076,0
35,146718,5,0.506527952539761,0.3099522300653288,0.4578423817464532,3
57,53743,3,0.3060815097523324,0.9072569011777624,0.770337504722531,0
18,128552,2,0.46052203679707604,0.3253858324805613,0.6360429566435409,1
28,98538,1,0.6364835371380434,0.274437185269672,0.8150308789352901,1
45,132517,5,0.8792823174295145,0.3846422829029845,0.016145350540666015,0
42,63386,4,0.5558678676787286,0.9602730379980334,0.9113474562040529,3
40,113786,3,0.27673529477375014,0.7645791318851227,0.06135176616823235,3
48,63388,2,0.0427399146934786,0.20173831754775517,0.44547814906026684,3
47,41323,3,0.1754550559167406,0.7525515951030842,0.2757643983113789,3
59,89269,5,0.6501776206624628,0.7662348421545849,0.9281937321114804,0
52,61319,2,0.16043696682415765,0.9501370746802849,0.27514313356303877,3
24,87759,4,0.48153955314345087,0.8910951088619228,0.3733369278689026,2
33,36868,1,0.6989550154763854,0.09519498313102848,0.888340060038786,1
43,119732,5,0.30822490140311076,0.45457654136772907,0.5374061403378216,0
19,22080,2,0.6691058898072861,0.7029935780869553,0.8982017061760208,4
18,33776,1,0.5810720616478187,0.973368800869901,0.6609691047377436,4
29,86231,2,0.43893910692839544,0.08515471815443065,0.07919160263149871,1
22,75452,5,0.897245478884261,0.36823274892221847,0.4347866785018848,3
54,73812,2,0.6920588904274437,0.49222380268406374,0.1763884875323236,0
49,83271,4,0.3605970331525752,0.4132441935278519,0.06513328632740345,0
26,118505,2,0.8042645335255416,0.45577844302840254,0.37381893110436737,1
58,97585,5,0.7381022141696717,0.3691021397248909,0.908429088542567,0
52,78542,2,0.7916839655081643,0.9706226141266744,0.1176699346259037,0
36,144147,1,0.6409559830409944,0.8032447789612898,0.006772099940898224,2
33,35628,1,0.3793706158394986,0.7366599117633678,0.9350891211727362,4
20,145850,3,0.3485785156042691,0.41070135810645014,0.5301054909302754,1
37,148445,3,0.6541513607592644,0.8815235808502315,0.5585802899700604,3
41,28265,4,0.13090000796690116,0.09333928720443263,0.928453009779912,1
50,44671,1,0.8199143504985758,0.14341852625748497,0.7001787639271885,3
41,148872,3,0.3703353839980731,0.9540578532810883,0.8268128368830255,2
28,32460,2,0.630371989365549,0.5669883034225529,0.7704934762823773,1
25,148898,4,0.49906391493341806,0.1594577756692409,0.6118574336334744,1
53,23477,5,0.5193264920246539,0.949145707750745,0.688398691740059,0
55,22202,3,0.7380061462013471,0.9748432747641276,0.5607029946510474,0
57,133846,3,0.6266700536714184,0.8814930681952098,0.355397303904867,0
37,109410,1,0.25030898834571347,0.23855785498161908,0.28535258543894015,2
52,132928,4,0.07422593142373779,0.278493985918012,0.17594445491546762,0
42,126753,1,0.840234067365291,0.4069728525518729,0.3540019818472615,3
52,31850,1,0.8848940747518577,0.5793217258580095,0.5768962861578132,0
42,124621,4,0.1644965329173187,0.9921814095695122,0.5875373122640999,2
46,40809,2,0.3094770669195325,0.9561335468327857,0.6834193375925564,2
35,90886,3,0.28234238193173233,0.9211390586977405,0.8794252377151296,2
35,22806,1,0.9374485607401548,0.08927629881354582,0.6518481670319979,1
19,27163,3,0.2047773819306884,0.7571663452240955,0.17088628151814633,4
52,114368,4,0.166539232099832,0.8768458613396913,0.02569774884610254,0
33,20185,2,0.18183854974819902,0.3332795295388664,0.1968728191966168,1
58,126374,5,0.7298691760937669,0.21957403420080757,0.9081024028940317,0
53,44718,2,0.8880198442464752,0.7484414938868724,0.5676546348603111,0
50,97081,4,0.3933674106332681,0.09083775639150682,0.8486069097543278,3
21,76202,2,0.13607990436635675,0.9408582021478272,0.2343084403348702,4
50,45215,5,0.58572199740834,0.15607764425628023,0.7098806063926674,0
31,48325,1,0.20993495832897613,0.45753785217020915,0.7316741913374041,4
38,38458,2,0.06415144736523481,0.9827978496670962,0.8095351944790716,4
37,142342,4,0.8862313783824761,0.9882202165370104,0.5355141534079305,0
25,36006,2,0.870841276333676,0.7759902866955368,0.7935115611138601,1
24,114080,5,0.9759101602592737,0.8391884848278139,0.9354443584568817,2
20,52969,4,0.4740047549061329,0.9671707421915003,0.9573934502756599,4
34,96820,2,0.29400119821042214,0.9274295094143692,0.1254365791053641,2
50,124014,4,0.7697837455704024,0.6221086322838477,0.6243077012512812,0
29,149693,5,0.18049493208391276,0.7346169809287301,0.11348597208383426,2
39,137853,1,0.24329207681628062,0.5937765539485278,0.9225855248676366,1
39,47655,5,0.2556826262073807,0.5064952739715743,0.9553938664177026,3
47,114679,1,0.9516194099121801,0.8808290165289472,0.49959201596415115,0
55,101234,3,0.729822918831074,0.7380251121370198,0.959893210069094,0
55,149282,5,0.13369479258215344,0.8598161703680309,0.766241622833244,0
25,120406,1,0.09284587812390677,0.09591096340541028,0.6959388104396794,4
44,29102,3,0.8428148535845117,0.5764851676244815,0.5807577994953015,0
44,87107,3,0.8022743230447615,0.3295168283482487,0.40677759306778305,0
51,123429,3,0.6709945780083552,0.513393978306116,0.9637801133316096,0
38,146328,4,0.19610065239661612,0.6129654446365496,0.19705134471972863,3
47,125001,5,0.4802835388892712,0.8457584721322844,0.8025378969716138,0
50,41553,5,0.6027259454572739,0.03187772455861504,0.3674529414875488,0
45,104079,5,0.9321375268403516,0.16398337268159568,0.7532457062288382,0
50,149169,5,0.16942374019741058,0.9214457412803159,0.16368768846440218,0
22,114437,4,0.5154468071461137,0.9672707099232539,0.37330431081687243,2
36,99570,5,0.157751638878312,0.05542268309744758,0.9461463259470324,1
21,112656,1,0.44384934057415226,0.3317875429168885,0.5572952364086975,1
52,86865,3,0.2001349746309229,0.009729973767240496,0.4912489751424979,0
34,138301,4,0.8361862083152113,0.7574480131947373,0.752106954347004,3
45,61420,4,0.25473627763751294,0.681940180240984,0.4170536663471712,0
47,45382,5,0.41710471624402423,0.5648051153986338,0.4930245509944938,0
46,89235,3,0.4077876524921352,0.691661173255565,0.5606069868217585,0
23,58795,1,0.8662949600217585,0.53779121255782,0.9899869111570698,1
52,71425,3,0.7577974647322603,0.2388411755804658,0.8053732611350393,0
58,77402,2,0.057575489015084025,0.7543337349554888,0.03980027951704279,0
54,82539,3,0.06708745716816433,0.7832777710649405,0.7836177884179246,0
41,96203,1,0.5511972451307041,0.8542018930732665,0.5029755842274627,2
46,123127,1,0.42771902735779344,0.954076678461756,0.23066568531022325,3
48,127651,1,0.27558422053684206,0.7475416117405452,0.8535023186123215,3
52,43459,4,0.7926209382074053,0.05454979153327266,0.27053179739187827,0
50,69649,4,0.12863517189899942,0.020838571546499263,0.3204111452501396,3
38,92495,2,0.9740569128701518,0.7398706707045248,0.0629934562150195,0
49,115117,3,0.024102506752160968,0.05605096492721118,0.9776049653087736,3
40,66384,5,0.11823072461084361,0.3159445982962267,0.7953823491149791,3
50,91746,2,0.311316654275852,0.1361598875239668,0.14810173880940292,0
20,98053,5,0.5091490952555031,0.9688999044021633,0.4895497640276867,2
35,76278,5,0.21613615847932388,0.3163941553654164,0.3367471869610934,2
42,98156,2,0.7362151488540264,0.05514690817032153,0.032394080002680736,3
59,56744,3,0.3575419034259898,0.9496075425158831,0.9272210568720897,3
48,108340,5,0.038538333396937574,0.6087443786006679,0.8394102356007886,0
20,50568,4,0.8777219674406442,0.036109068748973794,0.9869276326862456,1
57,37991,4,0.943865673086063,0.8333610398864005,0.24251478226631618,0
41,28912,2,0.6185636224370442,0.15252870305840638,0.6994170907943912,3
49,52527,5,0.8065363885704051,0.8024362731612393,0.11816930948462911,0
39,116399,2,0.12111153869330182,0.6027517462066567,0.43139322178975115,2
40,70426,4,0.2688202817866646,0.17711521463643154,0.8467395479940065,3
19,130363,2,0.3252316876781838,0.7525980527530949,0.008057719061742463,4
44,118994,5,0.9607531669484962,0.45450497560361325,0.48070054411853913,0
59,40407,5,0.5122226399073675,0.6381009397561159,0.43469656743483354,0
19,141935,4,0.007413558813959997,0.8695141653149253,0.6909984749413525,4
43,32344,1,0.3801858228700955,0.26029811542901826,0.23792636937036638,3
34,121741,1,0.00775060086557644,0.3659713407055072,0.1732832846531257,1
57,22355,3,0.23780574047244585,0.9972717852144787,0.6506996223556631,3
50,116429,4,0.4547000671411774,0.5081144701563491,0.6412562438743159,0
26,74733,3,0.32339305542083663,0.5585026743966562,0.7517837296444343,4
56,86285,4,0.032734212285170705,0.2854385398313436,0.2469134661287149,0
46,104971,5,0.11633572240877943,0.416027252603275,0.016325729642155618,0
59,65733,4,0.5508865612227329,0.5015517471734037,0.8779577148873134,0
43,76915,2,0.6956049043844853,0.25844472638795857,0.2063385068500292,3
52,72716,3,0.4045490122329026,0.23814551114401494,0.4179685644508401,0
42,131151,4,0.7314817464249069,0.6004668158641183,0.46850052129161346,0
41,58526,3,0.16333288851514371,0.18365144431961766,0.18733489726156283,2
30,38088,4,0.12205794780768608,0.5534577348015908,0.5208295912094758,2
24,85377,1,0.8394537159432758,0.7062140236195006,0.9142906448352157,1
53,64405,3,0.33921334849219964,0.19825762173025607,0.27135390069358967,0
37,58842,5,0.4322479219444243,0.7458780617560281,0.5203397196922682,2
18,81788,5,0.9475816023172965,0.35968437481294124,0.3086963798233885,1
25,131682,4,0.4241123279371093,0.9925045378552051,0.980725427368204,4
33,71529,5,0.003490105851904235,0.9790768101007039,0.22059849408518917,2
31,109939,5,0.9379719395498357,0.7985946335185505,0.10933026401437762,0
29,132833,3,0.01411863348582798,0.3427207765295188,0.14261844291743875,1
40,123578,4,0.6622862837291981,0.9372101373420595,0.36704959346202193,0
32,72383,3,0.32289090953250354,0.9987790052082541,0.5528515571748365,2
45,132311,4,0.470390756560205,0.4622785649417783,0.6680110273572435,0
51,59177,5,0.5472851676961841,0.6145893808966137,0.562413120204104,0
19,136903,4,0.40846005729555424,0.005987002983719458,0.9055365775089758,1
49,59056,4,0.7743687871821682,0.043533210330802374,0.36029106572619385,0
40,108249,2,0.930706409664446,0.5005978109669884,0.7123336503737469,3
39,86421,4,0.08641205211886827,0.6093138739238714,0.26818109043650573,2
42,53632,2,0.8002528812349731,0.31239300255763636,0.6817599701624975,3
39,59685,3,0.12867114090064513,0.09912982038305074,0.9258144820650623,1
39,97222,2,0.08027718324960775,0.7822721486703729,0.9784037626959725,4
59,88590,3,0.9558314527221288,0.4187600384132587,0.7296940269733505,0
23,28977,4,0.489297781491274,0.6488483925347122,0.9424464848252603,4
32,110568,3,0.1526032910092886,0.6502011953714764,0.6804342228095778,2
54,68967,5,0.5699571132170896,0.5468386830726523,0.963196238511688,0
50,94072,4,0.263237138769553,0.17848957071229565,0.8980205697567862,3
25,35070,2,0.4643090168079942,0.6160813433228552,0.10661965100217774,4
22,102473,1,0.6246595938799103,0.3220840092621765,0.4741231645748768,1
56,41500,4,0.8692698288699947,0.8191252065959235,0.34744988767950735,0
21,125987,5,0.003081398269308311,0.1931968493934254,0.02699908444315502,1
23,135475,3,0.21414066091594874,0.29114841398259717,0.46690421642717184,1
49,30011,2,0.09627054291877957,0.4403059662987565,0.14835118671243286,3
47,68039,2,0.0970977015590625,0.7400131302029762,0.03645290771903764,3
52,28896,5,0.9457774131399048,0.7207505771555667,0.44501811094206434,0
57,115335,5,0.9360829345150524,0.3371099537249047,0.23238554459665373,0
33,100118,4,0.7493080797012331,0.5107520308816229,0.9352918042080876,3
30,139595,1,0.6430630424009155,0.2342346004925966,0.8126973133589066,1
59,59958,1,0.847970446357703,0.7703652774938324,0.9561711357744626,0
47,61912,3,0.05840873809056757,0.19670988483487772,0.8814649099999091,3
36,20814,2,0.11948579310122842,0.8193469134771402,0.7279563920608167,4
34,95276,4,0.317112923296334,0.9368641007556333,0.5976425743794033,2
